,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
498894,2008,1,13,7,1335.0,1225,1640.0,1545,AA,1112,N476AA,125.0,140.0,106.0,55.0,70.0,DFW,TPA,929,3.0,16.0,0,,0,55.0,0.0,0.0,0.0,0.0
510824,2008,1,24,4,620.0,620,927.0,925,AA,1525,N3AVAA,247.0,245.0,227.0,2.0,0.0,BDL,DFW,1471,8.0,12.0,0,,0,,,,,
374008,2008,1,31,4,923.0,910,1057.0,1046,FL,775,N276AT,274.0,276.0,250.0,11.0,13.0,ATL,LAS,1747,8.0,16.0,0,,0,,,,,
229178,2008,1,29,2,1254.0,1304,1515.0,1532,UA,386,N918UA,81.0,88.0,68.0,-17.0,-10.0,DEN,FSD,483,3.0,10.0,0,,0,,,,,
46844,2008,1,17,4,1139.0,1135,1246.0,1240,WN,1563,N550WN,67.0,65.0,55.0,6.0,4.0,MCI,OKC,313,2.0,10.0,0,,0,,,,,
411430,2008,1,1,2,1949.0,1750,2118.0,1805,MQ,4340,N838AE,149.0,75.0,55.0,193.0,119.0,TOL,ORD,214,77.0,17.0,0,,0,0.0,0.0,74.0,0.0,119.0
153448,2008,1,5,6,1300.0,1300,1517.0,1535,OH,5352,N779CA,137.0,155.0,121.0,-18.0,0.0,SAV,BOS,901,9.0,7.0,0,,0,,,,,
398143,2008,1,27,7,,940,,1130,MQ,3841,,,110.0,,,,DFW,DSM,624,,,1,B,0,,,,,
483807,2008,1,30,3,1720.0,1720,2016.0,2000,AA,409,N516AA,116.0,100.0,72.0,16.0,0.0,ELP,DFW,551,29.0,15.0,0,,0,0.0,0.0,16.0,0.0,0.0
255159,2008,1,10,4,1716.0,1725,1951.0,1957,UA,1583,N476UA,275.0,272.0,246.0,-6.0,-9.0,MIA,DEN,1709,9.0,20.0,0,,0,,,,,
368671,2008,1,22,2,1652.0,1435,2032.0,1814,FL,870,N184AT,160.0,159.0,139.0,138.0,137.0,MDW,RSW,1105,5.0,16.0,0,,0,0.0,0.0,1.0,0.0,137.0
178842,2008,1,6,7,2254.0,2029,8.0,2152,OO,6497,N929SW,74.0,83.0,44.0,136.0,145.0,SJC,LAX,308,20.0,10.0,0,,0,136.0,0.0,0.0,0.0,0.0
523931,2008,1,26,6,1109.0,1110,1442.0,1500,AA,2096,N485AA,153.0,170.0,139.0,-18.0,-1.0,DFW,BWI,1217,5.0,9.0,0,,0,,,,,
110803,2008,1,29,2,726.0,730,848.0,858,XE,2216,N11565,82.0,88.0,67.0,-10.0,-4.0,RDU,EWR,416,7.0,8.0,0,,0,,,,,
501357,2008,1,16,3,,1730,,2110,AA,1188,,,160.0,,,,DFW,DCA,1192,,,1,A,0,,,,,
79626,2008,1,27,7,2259.0,2145,2306.0,2150,WN,1612,N380SW,67.0,65.0,58.0,76.0,74.0,PHX,SAN,304,2.0,7.0,0,,0,0.0,0.0,8.0,0.0,68.0
356957,2008,1,4,5,1855.0,1859,2034.0,2040,FL,245,N893AT,99.0,101.0,73.0,-6.0,-4.0,RIC,ATL,481,18.0,8.0,0,,0,,,,,
524074,2008,1,18,5,1516.0,1520,1859.0,1850,AA,2110,N073AA,163.0,150.0,126.0,9.0,-4.0,MIA,SJU,1045,4.0,33.0,0,,0,,,,,
172027,2008,1,2,3,2103.0,2040,2137.0,2112,OO,5941,N728SK,94.0,92.0,51.0,25.0,23.0,CVG,ORD,264,9.0,34.0,0,,0,0.0,0.0,0.0,0.0,25.0
285639,2008,1,24,4,1321.0,1320,1534.0,1523,US,1457,N427US,133.0,123.0,93.0,11.0,1.0,CLT,FLL,631,5.0,35.0,0,,0,,,,,
177911,2008,1,6,7,805.0,800,1003.0,1010,OO,4009,N606SK,178.0,190.0,148.0,-7.0,5.0,AUS,SLC,1085,22.0,8.0,0,,0,,,,,
277113,2008,1,17,4,1205.0,1208,1316.0,1329,US,267,N157AW,71.0,81.0,59.0,-13.0,-3.0,ELP,PHX,347,6.0,6.0,0,,0,,,,,
524172,2008,1,23,3,1644.0,1645,1737.0,1745,AA,2147,N3ADAA,53.0,60.0,40.0,-8.0,-1.0,TPA,MIA,204,4.0,9.0,0,,0,,,,,
531093,2008,1,7,1,459.0,505,535.0,542,AQ,200,N841AL,36.0,37.0,23.0,-7.0,-6.0,HNL,OGG,100,4.0,9.0,0,,0,,,,,
57835,2008,1,21,1,812.0,810,917.0,920,WN,2872,N746SW,65.0,70.0,56.0,-3.0,2.0,BDL,BWI,283,3.0,6.0,0,,0,,,,,
194817,2008,1,16,3,956.0,1005,1104.0,1115,OO,6736,N976SW,68.0,70.0,54.0,-11.0,-9.0,RAP,DEN,301,5.0,9.0,0,,0,,,,,
554748,2008,1,16,3,829.0,800,1153.0,1113,B6,623,N281JB,264.0,253.0,230.0,40.0,29.0,JFK,HOU,1428,4.0,30.0,0,,0,29.0,0.0,11.0,0.0,0.0
245227,2008,1,14,1,1705.0,1700,1923.0,1928,UA,949,N580UA,258.0,268.0,235.0,-5.0,5.0,ORD,SEA,1721,11.0,12.0,0,,0,,,,,
571426,2008,1,23,3,1428.0,1330,1651.0,1608,CO,1160,N17614,143.0,158.0,105.0,43.0,58.0,ATL,EWR,745,6.0,32.0,0,,0,0.0,0.0,43.0,0.0,0.0
12317,2008,1,7,1,1351.0,1355,1434.0,1455,WN,145,N473WN,103.0,120.0,90.0,-21.0,-4.0,BWI,BNA,588,5.0,8.0,0,,0,,,,,
126156,2008,1,30,3,,1635,,2015,XE,3019,,,160.0,,,,BHM,EWR,850,,,1,C,0,,,,,
309699,2008,1,21,1,1538.0,1535,1842.0,1833,DL,468,N907DE,124.0,118.0,99.0,9.0,3.0,MCI,ATL,692,12.0,13.0,0,,0,,,,,
603112,2008,1,13,7,2226.0,2230,602.0,601,DL,860,N131DN,276.0,271.0,252.0,1.0,-4.0,SEA,ATL,2182,8.0,16.0,0,,0,,,,,
560959,2008,1,28,1,1645.0,1650,1918.0,1950,B6,153,N586JB,153.0,180.0,125.0,-32.0,-5.0,JFK,MCO,944,6.0,22.0,0,,0,,,,,
11734,2008,1,6,7,1741.0,1730,1908.0,1855,WN,2115,N268WN,87.0,85.0,74.0,13.0,11.0,SNA,SMF,404,4.0,9.0,0,,0,,,,,
76219,2008,1,26,6,1139.0,1140,1441.0,1435,WN,1592,N450WN,242.0,235.0,223.0,6.0,-1.0,MDW,PHX,1444,6.0,13.0,0,,0,,,,,
95768,2008,1,22,2,711.0,715,1030.0,1032,XE,210,N27200,139.0,137.0,113.0,-2.0,-4.0,SMF,COS,911,11.0,15.0,0,,0,,,,,
27924,2008,1,11,5,1005.0,950,1115.0,1100,WN,1670,N410WN,70.0,70.0,54.0,15.0,15.0,ONT,SJC,333,2.0,14.0,0,,0,0.0,0.0,0.0,0.0,15.0
10390,2008,1,6,7,819.0,820,1046.0,1105,WN,319,N733SA,147.0,165.0,135.0,-19.0,-1.0,MDW,HOU,937,3.0,9.0,0,,0,,,,,
326609,2008,1,15,2,1537.0,1540,1620.0,1628,EV,4275,N859AS,103.0,108.0,82.0,-8.0,-3.0,ATL,LFT,503,5.0,16.0,0,,0,,,,,
31154,2008,1,12,6,827.0,830,1124.0,1140,WN,102,N329SW,117.0,130.0,102.0,-16.0,-3.0,PHX,OKC,833,3.0,12.0,0,,0,,,,,
99618,2008,1,15,2,1225.0,1225,1514.0,1433,XE,624,N27190,229.0,188.0,178.0,41.0,0.0,TUS,GEG,1125,43.0,8.0,0,,0,0.0,0.0,41.0,0.0,0.0
454933,2008,1,16,3,1056.0,1100,1214.0,1155,9E,2810,87109E,78.0,55.0,38.0,19.0,-4.0,DLH,MSP,144,7.0,33.0,0,,0,0.0,0.0,19.0,0.0,0.0
502371,2008,1,29,2,655.0,700,804.0,810,AA,1225,N448AA,69.0,70.0,52.0,-6.0,-5.0,TUL,DFW,237,6.0,11.0,0,,0,,,,,
374546,2008,1,31,4,606.0,610,903.0,840,FL,786,N958AT,117.0,90.0,89.0,23.0,-4.0,STL,ATL,483,9.0,19.0,0,,0,0.0,0.0,23.0,0.0,0.0
300924,2008,1,2,3,1853.0,1850,1900.0,1900,WN,1679,N336SW,67.0,70.0,55.0,0.0,3.0,PHX,ONT,325,4.0,8.0,0,,0,,,,,
404974,2008,1,27,7,558.0,605,725.0,725,MQ,4100,N693AE,147.0,140.0,109.0,0.0,-7.0,RIC,ORD,642,25.0,13.0,0,,0,,,,,
240815,2008,1,29,2,1208.0,1155,1424.0,1400,UA,764,N803UA,136.0,125.0,103.0,24.0,13.0,SEA,SFO,679,6.0,27.0,0,,0,0.0,0.0,17.0,0.0,7.0
36969,2008,1,14,1,1224.0,1225,1331.0,1335,WN,1462,N382SW,67.0,70.0,57.0,-4.0,-1.0,MSY,HOU,303,4.0,6.0,0,,0,,,,,
508429,2008,1,6,7,1109.0,1115,1304.0,1255,AA,1439,N546AA,115.0,100.0,75.0,9.0,-6.0,MCI,DFW,460,31.0,9.0,0,,0,,,,,
477670,2008,1,12,6,758.0,800,1619.0,1620,AA,24,N380AA,321.0,320.0,293.0,-1.0,-2.0,SFO,JFK,2586,7.0,21.0,0,,0,,,,,
61427,2008,1,22,2,1017.0,1015,1116.0,1120,WN,381,N703SW,59.0,65.0,44.0,-4.0,2.0,BUR,LAS,223,5.0,10.0,0,,0,,,,,
107588,2008,1,28,1,1109.0,1115,1245.0,1249,XE,2834,N21537,96.0,94.0,82.0,-4.0,-6.0,CLE,MHT,544,5.0,9.0,0,,0,,,,,
514,2008,1,3,4,1441.0,1350,1549.0,1510,WN,2985,N727SW,68.0,80.0,56.0,39.0,51.0,LAX,SMF,373,4.0,8.0,0,,0,8.0,0.0,0.0,0.0,31.0
396117,2008,1,16,3,1745.0,1745,1900.0,1855,MQ,3753,N677AE,75.0,70.0,50.0,5.0,0.0,DFW,LBB,282,5.0,20.0,0,,0,,,,,
249703,2008,1,6,7,1243.0,1245,1404.0,1356,UA,1237,N942UA,141.0,131.0,110.0,8.0,-2.0,DCA,ORD,612,9.0,22.0,0,,0,,,,,
142438,2008,1,19,6,1348.0,1350,1425.0,1425,YV,1037,N646BR,37.0,35.0,21.0,0.0,-2.0,HNL,OGG,100,9.0,7.0,0,,0,,,,,
506714,2008,1,4,5,2033.0,2005,2252.0,2230,AA,1377,N5FTAA,259.0,265.0,239.0,22.0,28.0,ORD,SEA,1721,6.0,14.0,0,,0,22.0,0.0,0.0,0.0,0.0
507822,2008,1,11,5,711.0,715,854.0,855,AA,1419,N434AA,223.0,220.0,205.0,-1.0,-4.0,STL,LAS,1372,7.0,11.0,0,,0,,,,,
118494,2008,1,5,6,631.0,635,852.0,839,XE,3035,N13914,141.0,124.0,102.0,13.0,-4.0,SAV,EWR,708,11.0,28.0,0,,0,,,,,
575193,2008,1,10,4,1349.0,1350,1724.0,1725,CO,1850,N77303,155.0,155.0,124.0,-1.0,-1.0,IAH,RDU,1043,8.0,23.0,0,,0,,,,,
468920,2008,1,30,3,1842.0,1845,2134.0,2145,9E,5732,87189E,112.0,120.0,82.0,-11.0,-3.0,MEM,PIT,652,6.0,24.0,0,,0,,,,,
231019,2008,1,31,4,1346.0,1335,1554.0,1553,UA,435,N846UA,248.0,258.0,221.0,1.0,11.0,PHL,DEN,1557,8.0,19.0,0,,0,,,,,
199034,2008,1,19,6,829.0,826,1111.0,1110,OO,6105,N758SK,162.0,164.0,144.0,1.0,3.0,LAX,SEA,954,4.0,14.0,0,,0,,,,,
241718,2008,1,21,1,2310.0,2100,17.0,2228,UA,805,N326UA,67.0,88.0,49.0,109.0,130.0,SFO,LAX,337,7.0,11.0,0,,0,0.0,0.0,0.0,0.0,109.0
121925,2008,1,1,2,1814.0,1315,1940.0,1434,XE,2690,N14953,86.0,79.0,50.0,306.0,299.0,EWR,BUF,282,22.0,14.0,0,,0,5.0,0.0,7.0,0.0,294.0
367632,2008,1,21,1,1342.0,1346,1504.0,1517,FL,719,N287AT,82.0,91.0,64.0,-13.0,-4.0,ATL,IND,432,7.0,11.0,0,,0,,,,,
598145,2008,1,9,3,605.0,615,750.0,757,DL,717,N3732J,105.0,102.0,81.0,-7.0,-10.0,BWI,CVG,430,5.0,19.0,0,,0,,,,,
529567,2008,1,14,1,1500.0,1505,1537.0,1542,AQ,26,N836AL,37.0,37.0,22.0,-5.0,-5.0,HNL,OGG,100,4.0,11.0,0,,0,,,,,
240946,2008,1,2,3,728.0,724,825.0,830,UA,769,N927UA,117.0,126.0,95.0,-5.0,4.0,ATL,ORD,606,9.0,13.0,0,,0,,,,,
560931,2008,1,28,1,2101.0,2105,2340.0,15,B6,11,N587JB,159.0,190.0,131.0,-35.0,-4.0,JFK,FLL,1069,2.0,26.0,0,,0,,,,,
150529,2008,1,30,3,1516.0,1440,1704.0,1546,YV,7255,N505MJ,108.0,66.0,39.0,78.0,36.0,PIT,IAD,183,7.0,62.0,0,,0,78.0,0.0,0.0,0.0,0.0
247186,2008,1,11,5,2206.0,2115,22.0,2333,UA,1158,N326UA,76.0,78.0,56.0,49.0,51.0,DEN,ICT,419,6.0,14.0,0,,0,49.0,0.0,0.0,0.0,0.0
587716,2008,1,3,4,1801.0,1755,1936.0,1941,CO,1795,N75861,215.0,226.0,183.0,-5.0,6.0,IAH,LAX,1379,8.0,24.0,0,,0,,,,,
261023,2008,1,4,5,1707.0,1710,2020.0,2036,US,1480,N745VJ,133.0,146.0,116.0,-16.0,-3.0,MSP,CLT,930,4.0,13.0,0,,0,,,,,
580767,2008,1,11,5,1704.0,1700,2206.0,2203,CO,541,N76269,182.0,183.0,153.0,3.0,4.0,LAX,IAH,1379,4.0,25.0,0,,0,,,,,
101822,2008,1,28,1,1949.0,1945,2114.0,2110,XE,7786,N10575,85.0,85.0,61.0,4.0,4.0,SMF,LAX,373,7.0,17.0,0,,0,,,,,
576834,2008,1,8,2,1542.0,1545,1648.0,1645,CO,6,N17356,66.0,60.0,36.0,3.0,-3.0,IAH,SAT,191,3.0,27.0,0,,0,,,,,
384612,2008,1,12,6,635.0,636,732.0,740,MQ,3256,N902AE,57.0,64.0,39.0,-8.0,-1.0,GGG,DFW,140,8.0,10.0,0,,0,,,,,
251682,2008,1,23,3,956.0,935,1115.0,1047,UA,1461,N433UA,139.0,132.0,123.0,28.0,21.0,DEN,ONT,819,3.0,13.0,0,,0,21.0,0.0,7.0,0.0,0.0
21534,2008,1,9,3,1337.0,1340,1523.0,1535,WN,3587,N437WN,166.0,175.0,151.0,-12.0,-3.0,RSW,MDW,1105,5.0,10.0,0,,0,,,,,
182694,2008,1,9,3,1158.0,1140,1243.0,1230,OO,3927,N913EV,105.0,110.0,88.0,13.0,18.0,SLC,SBP,608,3.0,14.0,0,,0,,,,,
342345,2008,1,13,7,935.0,935,1120.0,1133,EV,4790,N686BR,45.0,58.0,31.0,-13.0,0.0,DHN,ATL,171,8.0,6.0,0,,0,,,,,
406276,2008,1,6,7,1121.0,1040,1236.0,1130,MQ,4151,N645AE,135.0,110.0,90.0,66.0,41.0,BUF,ORD,473,11.0,34.0,0,,0,0.0,0.0,55.0,0.0,11.0
236514,2008,1,25,5,939.0,945,1042.0,1054,UA,609,N574UA,123.0,129.0,104.0,-12.0,-6.0,DCA,ORD,612,5.0,14.0,0,,0,,,,,
402606,2008,1,21,1,2025.0,1915,2145.0,2005,MQ,4012,N931AE,140.0,110.0,87.0,100.0,70.0,PIT,ORD,412,25.0,28.0,0,,0,0.0,0.0,58.0,0.0,42.0
289847,2008,1,27,7,706.0,715,911.0,906,US,518,N637AW,185.0,171.0,163.0,5.0,-9.0,OMA,PHX,1037,3.0,19.0,0,,0,,,,,
532284,2008,1,31,4,844.0,850,941.0,941,AQ,246,N823AL,57.0,51.0,44.0,0.0,-6.0,HNL,ITO,216,5.0,8.0,0,,0,,,,,
572771,2008,1,28,1,1450.0,1455,1756.0,1650,CO,1567,N38257,186.0,115.0,82.0,66.0,-5.0,CLE,EWR,404,13.0,91.0,0,,0,0.0,0.0,66.0,0.0,0.0
397535,2008,1,2,3,1336.0,1340,1449.0,1455,MQ,3811,N623AE,73.0,75.0,51.0,-6.0,-4.0,DFW,AMA,313,6.0,16.0,0,,0,,,,,
592093,2008,1,4,5,1258.0,1159,1825.0,1730,DL,856,N128DL,207.0,211.0,168.0,55.0,59.0,PHX,ATL,1587,25.0,14.0,0,,0,0.0,0.0,0.0,0.0,55.0
87440,2008,1,30,3,657.0,700,942.0,950,WN,1097,N652SW,105.0,110.0,93.0,-8.0,-3.0,BHM,BWI,682,4.0,8.0,0,,0,,,,,
486195,2008,1,1,2,1751.0,1750,1844.0,1850,AA,504,N432AA,53.0,60.0,36.0,-6.0,1.0,OKC,DFW,175,8.0,9.0,0,,0,,,,,
483614,2008,1,8,2,2213.0,2215,2322.0,2330,AA,403,N428AA,129.0,135.0,113.0,-8.0,-2.0,DFW,TUS,813,2.0,14.0,0,,0,,,,,
177794,2008,1,6,7,1456.0,1250,1736.0,1544,OO,3902,N869AS,100.0,114.0,81.0,112.0,126.0,SJC,SLC,585,6.0,13.0,0,,0,0.0,0.0,0.0,0.0,112.0
571438,2008,1,18,5,651.0,650,1024.0,1034,CO,544,N27722,153.0,164.0,124.0,-10.0,1.0,IAH,CLE,1091,8.0,21.0,0,,0,,,,,
550522,2008,1,8,2,1446.0,1440,1727.0,1732,B6,62,N517JB,161.0,172.0,137.0,-5.0,6.0,FLL,JFK,1069,5.0,19.0,0,,0,,,,,
228428,2008,1,22,2,815.0,818,946.0,835,UA,365,N587UA,151.0,77.0,55.0,71.0,-3.0,DTW,ORD,235,3.0,93.0,0,,0,0.0,0.0,71.0,0.0,0.0
175703,2008,1,4,5,1750.0,1654,1926.0,1817,OO,6510,N916SW,96.0,83.0,67.0,69.0,56.0,SMF,LAX,373,18.0,11.0,0,,0,0.0,0.0,0.0,0.0,69.0
367798,2008,1,21,1,2028.0,2030,2144.0,2152,FL,825,N184AT,76.0,82.0,60.0,-8.0,-2.0,BWI,BOS,370,7.0,9.0,0,,0,,,,,
179572,2008,1,7,1,820.0,820,1023.0,1020,OO,4003,N668CA,183.0,180.0,155.0,3.0,0.0,SAT,SLC,1086,15.0,13.0,0,,0,,,,,
87575,2008,1,30,3,2137.0,2055,2242.0,2200,WN,2794,N380SW,65.0,65.0,52.0,42.0,42.0,BUF,BWI,281,2.0,11.0,0,,0,0.0,0.0,0.0,0.0,42.0
572708,2008,1,10,4,621.0,630,1052.0,1058,CO,852,N16617,211.0,208.0,187.0,-6.0,-9.0,AUS,EWR,1504,7.0,17.0,0,,0,,,,,
314137,2008,1,24,4,1113.0,1115,1415.0,1414,DL,1482,N955DL,182.0,179.0,151.0,1.0,-2.0,FLL,LGA,1076,7.0,24.0,0,,0,,,,,
152538,2008,1,4,5,2000.0,2000,2135.0,2202,OH,4949,N689CA,95.0,122.0,54.0,-27.0,0.0,JFK,DCA,213,7.0,34.0,0,,0,,,,,
551695,2008,1,10,4,1922.0,1920,2233.0,2300,B6,165,N594JB,371.0,400.0,332.0,-27.0,2.0,JFK,PDX,2454,6.0,33.0,0,,0,,,,,
118126,2008,1,28,1,848.0,845,1207.0,1200,XE,2158,N15980,139.0,135.0,113.0,7.0,3.0,IAH,IND,845,6.0,20.0,0,,0,,,,,
334538,2008,1,14,1,1200.0,1200,1357.0,1410,EV,4523,N835AS,117.0,130.0,100.0,-13.0,0.0,MDT,ATL,619,8.0,9.0,0,,0,,,,,
275481,2008,1,16,3,741.0,746,935.0,941,US,1570,N512AU,114.0,115.0,92.0,-6.0,-5.0,CLT,BDL,644,5.0,17.0,0,,0,,,,,
152307,2008,1,3,4,1600.0,1530,1713.0,1637,OH,5426,N675BR,73.0,67.0,54.0,36.0,30.0,CVG,GRR,268,5.0,14.0,0,,0,0.0,0.0,6.0,0.0,30.0
